"","time","uid","geoid","sim_num","comp","incidI","hosp_curr","icu_curr","vent_curr","incidH","incidICU","incidVent","incidD","date_inds","sim_num_good","geo_ind"
"1",2020-02-01,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,1,1,43
"2",2020-02-02,"6037-10","6037","10","diffI",2,0,0,0,0,0,0,0,2,1,19
"3",2020-02-02,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,2,1,43
"4",2020-02-04,"6059-10","6059","10","diffI",1,0,0,0,0,0,0,0,4,1,30
"5",2020-02-04,"6073-10","6073","10","diffI",1,0,0,0,0,0,0,0,4,1,37
"6",2020-02-05,"6037-10","6037","10","diffI",2,0,0,0,0,0,0,0,5,1,19
"7",2020-02-05,"6059-10","6059","10","diffI",1,0,0,0,0,0,0,0,5,1,30
"8",2020-02-06,"6041-10","6041","10","diffI",1,0,0,0,0,0,0,0,6,1,21
"9",2020-02-06,"6065-10","6065","10","diffI",1,0,0,0,0,0,0,0,6,1,33
"10",2020-02-06,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,6,1,43
"11",2020-02-07,"6001-10","6001","10","diffI",2,0,0,0,0,0,0,0,7,1,1
"12",2020-02-07,"6037-10","6037","10","diffI",1,1,0,0,1,0,0,0,7,1,19
"13",2020-02-07,"6041-10","6041","10","diffI",1,0,0,0,0,0,0,0,7,1,21
"14",2020-02-07,"6073-10","6073","10","diffI",1,0,0,0,0,0,0,0,7,1,37
"15",2020-02-07,"6085-10","6085","10",NA,0,0,0,0,0,0,0,0,7,1,43
"16",2020-02-08,"6037-10","6037","10","diffI",1,1,0,0,0,0,0,0,8,1,19
"17",2020-02-08,"6041-10","6041","10","diffI",1,0,0,0,0,0,0,0,8,1,21
"18",2020-02-08,"6059-10","6059","10","diffI",2,0,0,0,0,0,0,0,8,1,30
"19",2020-02-08,"6071-10","6071","10","diffI",1,0,0,0,0,0,0,0,8,1,36
"20",2020-02-08,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,8,1,43
"21",2020-02-09,"6001-10","6001","10","diffI",1,0,0,0,0,0,0,0,9,1,1
"22",2020-02-09,"6037-10","6037","10","diffI",4,1,0,0,0,0,0,0,9,1,19
"23",2020-02-09,"6059-10","6059","10","diffI",1,0,0,0,0,0,0,0,9,1,30
"24",2020-02-09,"6073-10","6073","10",NA,0,0,0,0,0,0,0,0,9,1,37
"25",2020-02-09,"6081-10","6081","10","diffI",1,0,0,0,0,0,0,0,9,1,41
"26",2020-02-09,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,9,1,43
"27",2020-02-10,"6001-10","6001","10","diffI",2,0,0,0,0,0,0,0,10,1,1
"28",2020-02-10,"6037-10","6037","10","diffI",1,1,0,0,0,0,0,0,10,1,19
"29",2020-02-10,"6059-10","6059","10","diffI",3,0,0,0,0,0,0,0,10,1,30
"30",2020-02-10,"6073-10","6073","10","diffI",1,0,0,0,0,0,0,0,10,1,37
"31",2020-02-10,"6085-10","6085","10","diffI",1,0,0,0,0,0,0,0,10,1,43
"32",2020-02-10,"6087-10","6087","10","diffI",1,0,0,0,0,0,0,0,10,1,44
"33",2020-02-10,"6097-10","6097","10","diffI",1,0,0,0,0,0,0,0,10,1,49
"34",2020-02-11,"6013-10","6013","10","diffI",1,0,0,0,0,0,0,0,11,1,7
"35",2020-02-11,"6037-10","6037","10","diffI",1,1,0,0,0,0,0,0,11,1,19
"36",2020-02-11,"6041-10","6041","10",NA,0,0,0,0,0,0,0,0,11,1,21
"37",2020-02-11,"6059-10","6059","10","diffI",1,0,0,0,0,0,0,0,11,1,30
"38",2020-02-11,"6065-10","6065","10",NA,0,0,0,0,0,0,0,0,11,1,33
"39",2020-02-11,"6067-10","6067","10","diffI",1,0,0,0,0,0,0,0,11,1,34
"40",2020-02-11,"6073-10","6073","10","diffI",1,0,0,0,0,0,0,0,11,1,37
"41",2020-02-11,"6075-10","6075","10","diffI",1,0,0,0,0,0,0,0,11,1,38
"42",2020-02-11,"6085-10","6085","10","diffI",1,1,0,0,1,0,0,0,11,1,43
"43",2020-02-12,"6001-10","6001","10","diffI",2,0,0,0,0,0,0,0,12,1,1
"44",2020-02-12,"6013-10","6013","10","diffI",1,0,0,0,0,0,0,0,12,1,7
"45",2020-02-12,"6037-10","6037","10","diffI",2,1,0,0,0,0,0,0,12,1,19
"46",2020-02-12,"6041-10","6041","10","diffI",1,0,0,0,0,0,0,0,12,1,21
"47",2020-02-12,"6059-10","6059","10","diffI",2,0,0,0,0,0,0,0,12,1,30
"48",2020-02-12,"6065-10","6065","10","diffI",1,0,0,0,0,0,0,0,12,1,33
"49",2020-02-12,"6071-10","6071","10","diffI",2,0,0,0,0,0,0,0,12,1,36
"50",2020-02-12,"6073-10","6073","10","diffI",2,0,0,0,0,0,0,0,12,1,37
"51",2020-02-12,"6077-10","6077","10","diffI",1,0,0,0,0,0,0,0,12,1,39
"52",2020-02-12,"6085-10","6085","10","diffI",1,1,0,0,0,0,0,0,12,1,43
"53",2020-02-13,"6001-10","6001","10","diffI",1,0,0,0,0,0,0,0,13,1,1
"54",2020-02-13,"6037-10","6037","10","diffI",2,1,0,0,0,0,0,0,13,1,19
"55",2020-02-13,"6041-10","6041","10",NA,0,0,0,0,0,0,0,0,13,1,21
